

Measurement ID,6347,
Battery Name,LG M50,
Battery Type,
Circuit,MCCD_1271,
Program,168 - MSM_Rate_2C,
Start Time,24/08/2020 10:59,
End Time,25/08/2020 04:31,
Test section,TS006040,
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
8,CHA,65.029,7265.527,1,1,MSM_Rate_2C,3.39546,1.67003,0.03014,0,0.10131,5.67035,9.6
8,CHA,66.043,7266.541,1,1,MSM_Rate_2C,3.39624,1.67003,0.03068,0,0.10313,5.67184,9.6
8,CHA,67.055,7267.553,1,1,MSM_Rate_2C,3.39713,1.66967,0.03107,0,0.10446,5.67192,9.6
8,CHA,67.758,7268.256,1,1,MSM_Rate_2C,3.3978,1.66967,0.03142,0,0.10565,5.67285,9.6
8,CHA,68.007,7268.505,1,1,MSM_Rate_2C,3.39791,1.66967,0.03151,0,0.10593,5.67322,9.6
8,CHA,69.065,7269.563,1,1,MSM_Rate_2C,3.3988,1.66967,0.03207,0,0.10786,5.67489,9.6
8,CHA,70.071,7270.569,1,1,MSM_Rate_2C,3.39969,1.66967,0.03247,0,0.10921,5.67619,9.6
8,CHA,71.032,7271.53,1,1,MSM_Rate_2C,3.40047,1.66967,0.03294,0,0.11081,5.6789,9.6
8,CHA,72.005,7272.503,1,1,MSM_Rate_2C,3.40125,1.66967,0.03338,0,0.11231,5.67898,9.6
8,CHA,72.999,7273.497,1,1,MSM_Rate_2C,3.40203,1.66967,0.03389,0,0.11406,5.68028,9.6
8,CHA,74.069,7274.567,1,1,MSM_Rate_2C,3.40303,1.66967,0.03435,0,0.11559,5.68298,9.6
8,CHA,75.115,7275.613,1,1,MSM_Rate_2C,3.40381,1.66967,0.03487,0,0.11736,5.68325,9.6
8,CHA,76.093,7276.591,1,1,MSM_Rate_2C,3.40459,1.66967,0.03531,0,0.11889,5.68455,9.6
8,CHA,77.138,7277.636,1,1,MSM_Rate_2C,3.40536,1.67003,0.03574,0,0.12032,5.68566,9.6
8,CHA,77.99,7278.488,1,1,MSM_Rate_2C,3.40603,1.66967,0.03618,0,0.12184,5.68696,9.6
8,CHA,79,7279.498,1,1,MSM_Rate_2C,3.40681,1.66967,0.03665,0,0.12345,5.68826,9.6
8,CHA,80.02,7280.518,1,1,MSM_Rate_2C,3.40759,1.67003,0.03706,0,0.12484,5.68938,9.6
8,CHA,80.276,7280.774,1,1,MSM_Rate_2C,3.40781,1.66967,0.03719,0,0.12528,5.68975,9.6
8,CHA,81.034,7281.532,1,1,MSM_Rate_2C,3.40848,1.66967,0.03763,0,0.12678,5.69105,9.6
8,CHA,82.118,7282.616,1,1,MSM_Rate_2C,3.40926,1.67003,0.03807,0,0.12829,5.6932,9.6
8,CHA,83.059,7283.557,1,1,MSM_Rate_2C,3.40993,1.66967,0.03857,0,0.12999,5.69346,9.6
8,CHA,84.007,7284.505,1,1,MSM_Rate_2C,3.4107,1.67003,0.03901,0,0.13147,5.69599,9.6
8,CHA,85.165,7285.663,1,1,MSM_Rate_2C,3.41148,1.66967,0.03945,0,0.13298,5.69588,9.6
8,CHA,86.081,7286.579,1,1,MSM_Rate_2C,3.41226,1.67003,0.03995,0,0.13468,5.69859,9.6
8,CHA,87.063,7287.561,1,1,MSM_Rate_2C,3.41293,1.66967,0.04039,0,0.13618,5.69848,9.6
8,CHA,88.072,7288.57,1,1,MSM_Rate_2C,3.41371,1.67003,0.04088,0,0.13786,5.701,9.6
